Year,State,Burden Rate,Income per Capita,Taxes Paid to Own State Per Capita,Taxes Paid to Other States Per Capita,Total Taxes Paid Per Capita
2011,Virginia,0.10,47288.20,3128.82,1344.37,4473.19
2011,Washington,0.10,45854.47,3137.75,1241.49,4379.24
2011,West Virginia,0.10,32216.74,2344.48,906.02,3250.50
2011,Wisconsin,0.11,40758.40,3433.83,1094.80,4528.63
2011,Wyoming,0.07,50336.56,1794.83,1899.14,3693.97
2010,Alabama,0.09,32338.57,1999.28,911.30,2910.58
2010,Alaska,0.07,44824.04,1999.21,1163.97,3163.18
2010,Arizona,0.09,33816.11,2116.50,925.66,3042.16
2010,Arkansas,0.11,30595.64,2367.90,879.56,3247.46
2010,California,0.12,42275.63,3971.41,992.80,4964.21
2010,Colorado,0.09,43054.69,2787.87,1207.05,3994.92
2010,Connecticut,0.13,56289.53,4968.13,2133.96,7102.09
2010,Delaware,0.10,40095.96,2181.09,1625.48,3806.57
2010,District of Columbia,0.10,62178.26,3892.61,2110.84,6003.45
2010,Florida,0.10,37800.86,2561.29,1138.06,3699.35
2010,Georgia,0.09,34284.22,2281.63,916.62,3198.25
2010,Hawaii,0.11,41344.33,3294.89,1091.76,4386.65
2010,Idaho,0.10,32043.53,2135.94,994.04,3129.98
2010,Illinois,0.11,42697.37,3440.13,1122.26,4562.39
2010,Indiana,0.10,33647.62,2397.77,884.43,3282.20
2010,Iowa,0.10,38134.23,2664.48,1062.83,3727.31
2010,Kansas,0.10,38092.20,2600.53,1189.00,3789.53
2010,Kentucky,0.10,31586.68,2178.97,831.83,3010.80
2010,Louisiana,0.08,35161.67,1919.03,923.21,2842.24
2010,Maine,0.11,36065.14,2829.22,1022.35,3851.57
2010,Maryland,0.11,49794.72,3872.64,1462.93,5335.57
2010,Massachusetts,0.11,50757.81,3957.29,1488.73,5446.02
2010,Michigan,0.10,34649.33,2647.61,828.72,3476.33
2010,Minnesota,0.11,42134.86,3609.27,1079.60,4688.87
2010,Mississippi,0.09,29001.77,1828.51,810.11,2638.62
2010,Missouri,0.09,35442.62,2280.80,1022.56,3303.36
2010,Montana,0.09,34042.90,2029.16,1126.41,3155.57
2010,Nebraska,0.10,39132.80,2770.85,1157.07,3927.92
2010,Nevada,0.09,38455.37,2108.57,1219.81,3328.38
2010,New Hampshire,0.09,45105.83,2299.43,1582.54,3881.97
2010,New Jersey,0.13,51999.39,4823.26,1790.04,6613.30
2010,New Mexico,0.09,32582.30,1992.44,924.69,2917.13
2010,New York,0.13,49326.48,5126.57,1268.68,6395.25
2010,North Carolina,0.10,34558.64,2654.38,905.40,3559.78
2010,North Dakota,0.09,40723.16,2565.33,1239.71,3805.04
2010,Ohio,0.10,35505.71,2701.77,847.34,3549.11
2010,Oklahoma,0.09,34233.93,2151.33,979.74,3131.07
2010,Oregon,0.11,35892.67,2866.05,963.96,3830.01
2010,Pennsylvania,0.10,40312.21,3092.50,1099.00,4191.50
2010,Rhode Island,0.11,41706.19,3299.98,1365.34,4665.32
