candidate
sonny callahan
terry everett
joe fondren
bob riley
joe turnham
don bevill
robert b. aderholt
gil aust
"robert e. (bud) cramer, jr."
spencer bachus
donna wesson smalley
earl f. hilliard
jim duncan
"john j. g. """"johnny"""" grames"
don young
david mendoza
matt salmon
gregoy schultz
ed barron
rick duncan
ed pastor
bob stump
stuart marc starky
eric ehst
ernest hancock
john b. shadegg
doug quelland
tom volgy
jim kolbe
"robert """"bob"""" connery, sr."
phil murphy
j. d. hayworth
robert anderson
steve owens
marion berry
vic snyder
phil wyrick
asa hutchinson
ralph forbes
judy smith
jay dickey
mike thompson
"ernest k. jones, jr."
emil p. rossi
mark c. luce
roberts 'rob' braden
wally herger
patrice thiessen
sandie dunn
doug ose
ross crain
dan winterrowd
john t. doolittle
david shapiro
robert t. matsui
douglas arthur tuma
robert s. dinsmore
lynn c. woolsey
ken mcauliffe
alan r. barreca
george miller
norman h. reece
nancy pelosi
david j. martz
david smithstein
gerald sanders
walter ruehlig
claiborne 'clay' sanders
barbara lee
john place
charles ball
valerie janlois
ellen o. tauscher
robert l. figueroa
richard w. pombo
jesse baird
robert h. evans
tom lantos
michael j. moloney
james r. goetz
fortney pete stark
karnig beylikjian
anna currivan
joseph w. dehn iii
anna g. eshoo
john c. 'chris' haugen
dick lane
tom campbell
frank strutner
zoe lofgren
horace eugene thayn
john h. black
sam farr
scott r. hartley
rick s. garrett
bill mccampbell
linda m. degroat
gary a. condit
jonathan richter
george p. radanovich
cliff unruh
calvin m. dooley
john evans
william m. thomas
"tom j. bordonaro, jr."
robert bakhaus
richard d. 'dick' porter
lois capps
daniel 'dan' gonzalez
elton gallegly
catherine carter
erich d. miller
randy hoffman
ralph shroyer
brad sherman
bruce r. acker
"howard p. """"buck"""" mckeon"
maria armoudian
david l. cossak
howard l. berman
juan carlos ros
bob new
barry a. gordon
james e. rogan
janice m. nelson
walt contreras sheasby
m. lawrence allison
david dreier
jerry r. douglas
mike binkley
mike gottlieb
henry a. waxman
karen blasdell-wilkinson
xavier becerra
patricia parker
michael b. everling
matthew g. martinez
krista lieberg-wong
gary hearne
frank c. moreno
velko milosevich
julian c. dixon
laurence ardito
lucille roybal-allard
wayne miller
walter scott
ed perez
grace flores napolitano
jason heath
gordon michael mego
maxine waters
kerry welsh
janice hahn
john r. konopka
robin barrett
steven t. kuykendall
saul e. lankster
juanita millender-mcdonald
peter mathews
david bowers
stephen horn
edward r. royce
jack dean
a. 'cecy' r. groom
ron jevning
jerry lewis
robert 'bob' conaway
maurice maybena
kenneth e. valentine
david f. kramer
gary g. miller
cynthia allaire
eileen r. ansari
david lynn hollist
hale mcgee
elia pirozzi
"george e. brown, jr."
ken calvert
phill courtney
annie wallack
mike rayburn
jim j. meuer
ralph waite
mary bono
patricia w. neal
"william 'bill' verkamp, jr."
dana rohrabacher
don hull
loretta sanchez
larry g. engwall
thomas e. reimer
robert kenneth 'bob' dornan
paul fisher
christopher cox
raymond o. mills
christina avalos
"victor a. wagner, jr."
ron packard
daniel l. muhe
sharon k. miles
christine t. kehoe
julia f. simon
ernest lippe
janice jordan
brian p. bilbray
bob filner
jack anderson
eric h. bourdette
dan kripke
"randy """"duke"""" cunningham"
duncan hunter
lynn badler
adrienne pelton
richard combs
nancy mcclanahan
diana degette
bob greenlee
patrick c. west
mark udall
robert reed kelley
scott mcinnis
barry maggert
bob schaffer
susan kirkpatrick
ken alford
joel hefley
mark a. mellot
henry l. strauss
george e. newman
tom tancredo
jay e. palmieri iv
kevin o'connor
john b. larson
sam gejdenson
paul w. cook
dianne g. ondusko
gary m. koval
gail j. dalby
rosa l. delauro
kristen j. abbatiello
martin t. reust
david p. cole
jonathan kantrowitz
christopher shays
marshall c. harrison
mark nielsen
robert v. strasdauskas
james h. maloney
timothy a. knibbs
mark j. polon
charlotte koskoff
nancy l. johnson
james p. webster
kim stanley bemis
dennis e. williams
michael n. castle
joe scarborough
allen boyd
bill randall
corrine brown
tillie w. fowler
jack gargan
karen l. thurman
cliff stearns
john l. mica
bill mccollum
al krulick
michael bilirakis
c. w. bill young
joe chillura
jim davis
charles t. canady
dan miller
porter j. goss
david r. golding
dave weldon
mark foley
carrie p. meek
ileana ros-lehtinen
robert wexler
peter deutsch
lincoln diaz-balart
patrick cusack
"e. clay shaw, jr."
alcee l. hastings
jack kingston
"joseph francis mccormick, jr."
"sanford d. bishop, jr."
mac collins
cynthia a. mckinney
sunny j. warren
john lewis
"john h. lewis, sr."
newt gingrich
"gary """"bats"""" pelphrey"
"james f. """"jim"""" williams"
bob barr
saxby chambliss
ronald l. cain
nathan deal
charlie norwood
marion denise spencer freeman
vincent littman
john linder
neil abercrombie
nicholas bedworth
gene ward
patsy t. mink
noreen leilehua
carol j. douglass
dan williams
helen chenoweth
richard h. stallings
jonathan bradford ratner
mike simpson
bobby l. rush
marjorie kohls
marlene white ahimaz
matthew joseph beauchamp
"jesse l. jackson, jr."
robert gordon iii
william o. lipinksi
robert marshall
john birch
william passmore
luis v. gutierrez
alan spitz
rod r. blagojevich
george meyers
thomas a. cramer
henry j. hyde
dorn e. van cleave iii
danny k. davis
philip m. crane
mike rothman
janice d. (jan) schakowsky
michael d. ray
herbert sohn
john edward porter
jerry weller
gary s. mueller
jerry f. costello
william melvin price
judy biggert
susan w. hynes
"robert a. cozzi, jr."
j. dennis hastert
laurel lunt prussing
thomas w. ewing
donald a. manzullo
lane evans
mark baker
ray lahood
brent winters
david d. phelps
rick verticchio
john shimkus
michael petyo
michael crass
peter j. visclosky
david m. mcintosh
sherman a. boles
cliff federle
daniel a. holtz
tim roemer
mark j. wehrle
mark e. souder
stephen e. buyer
david steele
carl d. waters
douglas w. garlinger
dan burton
joe hauptmann
bob kern
barbara bourland
samuel (dutch) hillenburg
edward a. pease
paul hager
gail riecken
john n. hostettler
diane l. feeney
jean leising
baron hill
fred c. peterson
wayne j. wohlfert
julia carson
gary a. hofmeister
jeffrey m. smith
charles thurston
bob rush
james a. leach
jim nussle
rob tully
peter lamoureux
larry mckibben
charles p. connolly
joe seehusen
leonard l. boswell
jon dvorak
greg ganske
steven yellin
tom latham
jim philips
jerry moran
jim clark
jim ryan
vince snowbarger
dennis moore
jim lawing
todd tiahrt
craig newland
ed whitfield
tom barlow
ron lewis
jim ketchel
bob evans
chris gorman
anne m. northup
patricia jo metten
ken lucas
"gex """"jay"""" williams"
sidney jane bailey-bamer
harold rogers
ernesto scorsone
wasley s. krogdahl
ernie fletcher
bob livingston
don-terry veal
david reed
william j. jefferson
w. j. (billy) tauzin
jim mccrery
john cooksey
marjorie mcckeithen
richard h. baker
cristopher john
eric r. greiner
thomas h. allen
ross j. connelly
john elias baldacci
jonathan reisman
irving pinder
wayne t. gilchrest
"robert l. ehrlich, jr."
