,last_name
1634,presser
1635,wahner
1636,mellis
1637,quarles
1641,bauer
1643,lett
1644,schoeman
1645,oviatt
1646,fellman
1648,bentley
1649,grimmer
1653,rusk
1654,willkie
1656,melamede
1657,hanks
1658,lilly
1659,brauer
1661,shevchuk
1662,harkins
1663,styskal
1664,goss
1665,aden
1668,harvell
1670,walkowicz
1672,goodwin
1673,kirby
1676,kolody
1682,coleman
1683,nakash
1684,bryan
1685,schinella
1686,potvin
1687,rosa
1688,arrow
1689,szych
1690,aranas
1692,meo
1693,beilstein
1694,lugo
1695,broadnax
1697,raduc
1698,cataldo
1700,sandnes
1701,mullen
1702,charbonneau
1705,lott
1706,roy
1707,manley
1708,diblasi
1709,hoffay
1710,garneau
1711,kennelly
1712,gejdenson
1713,delauro
1716,taborsak
1717,plawecki
1720,bingham
1724,danford
1725,koskoff
1728,gjdenson
1733,knibbs
1734,strasdauskas
1736,zdonczyk
1740,zonneveld
1742,isenhour
1743,slothower
1744,seehusen
1745,bassett
1746,krug
1747,heath
1748,kimble
1750,nielsen
1751,brodersen
1752,albert
1753,oddo
1755,fisher
1757,segrest
1758,waszkiewicz
1760,glissmeyer
1761,puente
1762,parker
1763,bayne
1765,william
1766,gianoutsos
1767,corey
1768,hughes
1769,krail
1770,aversa
1771,batcher
1774,hildebrandt
1775,murphy
1776,marchetti
1777,stroud
1778,casida
1779,doherty
1780,barron
1781,tryon
1782,mates
1787,blais
1788,addy
1789,grandanette
1791,chapin
1793,diamondstone
1795,larson
1797,masel
1799,newton
1804,andrews
1805,clawson
1806,potter
1807,davies
1808,stevens
1810,frazier
1811,patterson
1812,rivera
1813,fried
1814,nevas
1815,sackett
1817,block
1818,foster
1819,mendez
1820,fields
1822,frisa
1824,misir
1825,benjamin
1826,verga
1828,hayle
1829,molinari
1831,norman
1832,solomon
1833,boehlert
1834,walsh
1835,wittig
1836,paxon
1837,rosenberger
1838,callard
1840,houghton
1841,williams
1842,mcclean
1845,seat
1847,kanengiser
1850,richards
1851,waller
1852,sarnowski
1853,eden
1854,grabowski
1855,gould
1858,nelson
1859,golden
1860,princ
1861,guillebeau
1862,duemler
1864,hryciuk
1865,webb
1867,sorg
1868,dover
1874,dorman
1879,simanonok
1880,bourque
1881,albares
1883,skains
1884,taylor
1885,dumas
1886,wolf
1888,hawxhurst
1889,clement
1890,beier
1891,iwancio
1892,jacobs
1893,moscatello
1894,valletta
1895,watts
1896,bowen
1897,vidrine
1898,wells
1899,radosta
1900,marquize
1901,graham
1902,benfer
1903,mouser
1904,anna
1905,gregory
1906,rice
1907,meeks
1908,meng
1909,nydia
1910,nadler
1911,crowley
1912,engel
1913,lowey
1915,tonko
1916,slaughter
1917,higgins
1918,browning
1919,shirley
1920,suozzi
1922,rose
1927,delgado
1929,cobb
1930,brindisi
1931,mitrano
1932,balter
1933,morelle
1935,mcmurray
1936,hansen
1937,jefferson
1938,gunderson
1940,kendel
1942,howe
1943,horne
1945,christensen
1949,bangerter
1950,lehman
1951,dempsey
1953,odell
1955,wayne
1956,alexander
1957,everhart
1958,fitzgibbons
1960,best
1961,narter
1962,zanowic
1963,vaughan
1967,bakari
1973,aalders
1976,markowitz
1977,little
1978,garfield
1979,vickers
1981,duerden
1983,bridges
1984,rubinson
1986,fairchild
1990,jaquith
1991,stumpf
1992,lee
1993,hause
1996,klinger
1997,soderna
1998,farness
1999,webster
2001,holtorf
2003,grego
2004,emerick
