-1,cand_id
0,54356
1,17105
2,37540
3,37540
4,168428
5,194668
6,4913
7,12847
8,19537
9,4913
10,19537
11,34415
12,38629
13,19537
14,48563
15,33872
16,49876
17,34274
18,4913
19,47689
20,47210
21,4913
22,47210
23,57239
24,4913
25,101702
26,109358
27,112300
28,123880
29,50168
30,122917
31,124711
32,120904
33,112300
34,138065
35,124711
36,50168
37,154243
38,172417
39,168553
40,154243
41,176753
42,185461
43,84404
44,184207
45,50168
46,168553
47,154243
48,84404
49,192675
50,168553
51,154243
52,192472
53,191034
54,1196
55,8049
56,15840
57,20371
58,20371
59,54466
60,55480
61,27571
62,50466
63,20371
64,34456
65,50466
66,54466
67,108253
68,154265
69,154265
70,177777
71,178537
72,154265
73,154265
74,26827
75,26827
76,26827
77,26827
78,26827
79,26827
80,26827
81,30338
82,26827
83,30338
84,26827
85,30338
86,26827
87,119267
88,30338
89,119267
90,30338
91,26827
92,30338
93,119267
94,172653
95,170113
96,30338
97,119267
98,172653
99,170113
100,30338
101,119267
102,170113
103,34947
104,34947
105,182098
106,2315
107,10192
108,7133
109,3735
110,7133
111,3735
112,7133
113,3735
114,54982
115,7133
116,3735
117,54982
118,7133
119,3735
120,54982
121,57337
122,67385
123,54982
124,107145
125,109799
126,67385
127,107072
128,54982
129,124310
130,124878
131,67385
132,67385
133,107072
134,154931
135,67385
136,67385
137,183863
138,67385
139,195246
140,187372
141,183863
142,28987
143,149
144,11896
145,149
146,149
147,11896
148,27640
149,189091
150,26970
151,26970
152,26970
153,6296
154,8480
155,9438
156,26970
157,25114
158,8480
159,9438
160,26970
161,9438
162,46680
163,27730
164,26970
165,46680
166,26970
167,48546
168,9438
169,46680
170,26970
171,9438
172,26970
173,26970
174,117010
175,78667
176,137179
177,78667
178,171963
179,78667
180,78667
181,181008
182,194710
183,171963
184,78667
185,181008
186,9660
187,47336
188,29928
189,59422
190,107734
191,138287
192,137148
193,107734
194,155585
195,150186
196,150689
197,29928
198,138287
199,169350
200,150689
201,183025
202,138287
203,183025
204,191386
205,191636
206,195102
207,37936
208,58529
209,98650
210,98650
211,162788
212,1452
213,29151
214,29151
215,1452
216,29386
217,29398
218,29151
219,32822
220,1452
221,1452
222,42986
223,117011
224,124942
225,15465
226,8809
227,5935
228,2982
229,11577
230,718
231,10971
232,10854
233,9441
234,4482
235,11908
236,2986
237,4057
238,10393
239,4915
240,5724
241,5935
242,18086
243,11577
244,5587
245,10971
246,19058
247,6591
248,20557
249,9441
250,25377
251,25056
252,18380
253,18842
254,4057
255,10393
256,20155
